Hauts-de-France par commune( 2018),,,
,,Indic1,
62539,Maisnil,0,522
62540,Maisnil-lès-Ruitz,0,447
62541,Maisoncelle,0,285
62542,Maizières,0,577
62543,Mametz,0,427
62544,Manin,0,625
62545,Maninghem,0,563
62546,Maninghen-Henne,0,638
62547,Marant,N/A - résultat non disponible,
62548,Marck,0,53
62549,Marconne,0,345
62550,Marconnelle,0,282
62551,Marenla,0,377
62552,Maresquel-Ecquemicourt,0,329
62553,Marest,0,511
62554,Maresville,0,613
62555,Marles-les-Mines,0,222
62556,Marles-sur-Canche,0,393
62557,Maroeuil,0,665
62558,Marquay,0,475
62559,Marquion,0,466
62560,Marquise,0,463
62561,Martinpuich,0,504
62562,Matringhem,0,339
62563,Mazingarbe,0,284
62564,Mazinghem,0,555
62565,Mencas,N/A - résultat non disponible,
62566,Menneville,0,54
62567,Mentque-Nortbécourt,0,482
62568,Mercatel,0,639
62569,Merck-Saint-Liévin,0,372
62570,Méricourt,0,253
62571,Merlimont,0,521
62572,Metz-en-Couture,0,393
62573,Meurchin,0,41
62574,Mingoval,0,587
62576,Moncheaux-lès-Frévent,0,518
62577,Monchel-sur-Canche,N/A - résultat non disponible,
62578,Monchiet,N/A - résultat non disponible,
62579,Monchy-au-Bois,0,575
62580,Monchy-Breton,0,517
62581,Monchy-Cayeux,0,449
62582,Monchy-le-Preux,0,653
62583,Mondicourt,0,473
62584,Mont-Bernanchon,0,463
62585,Montcavrel,0,403
62586,Montenescourt,0,659
62587,Montigny-en-Gohelle,0,369
62588,Montreuil,0,396
62589,Mont-Saint-Éloi,0,669
62590,Monts-en-Ternois,N/A - résultat non disponible,
62591,Morchies,0,415
62592,Moringhem,0,474
62593,Morval,N/A - résultat non disponible,
62594,Mory,0,443
62595,Moulle,0,496
62596,Mouriez,0,382
62597,Moyenneville,0,446
62598,Muncq-Nieurlet,0,558
62599,Nabringhen,0,552
62600,Nédon,0,435
62601,Nédonchel,0,377
62602,Nempont-Saint-Firmin,0,446
62603,Nesles,0,438
62604,Neufchâtel-Hardelot,0,59
62605,Neulette,N/A - résultat non disponible,
62606,Neuve-Chapelle,0,593
62607,Neuville-au-Cornet,N/A - résultat non disponible,
62608,Neuville-Bourjonval,0,412
62609,Neuville-Saint-Vaast,0,675
62610,Neuville-sous-Montreuil,0,357
62611,Neuville-Vitasse,0,688
62612,Neuvireuil,0,638
62613,Nielles-lès-Bléquin,0,508
62614,Nielles-lès-Ardres,0,513
62615,Nielles-lès-Calais,0,734
62616,Noeux-lès-Auxi,0,293
62617,Noeux-les-Mines,0,314
62618,Nordausques,0,492
62619,Noreuil,0,431
62620,Norrent-Fontes,0,383
62621,Nortkerque,0,53
62622,Nort-Leulinghem,0,445
62623,Nouvelle-Église,0,626
62624,Noyelles-Godault,0,362
62625,Noyelles-lès-Humières,N/A - résultat non disponible,
62626,Noyelles-lès-Vermelles,0,423
62627,Noyelles-sous-Bellonne,0,612
62628,Noyelles-sous-Lens,0,316
62629,Noyellette,0,676
62630,Noyelle-Vion,0,607
62631,Nuncq-Hautecôte,0,537
62632,Oblinghem,0,506
62633,Oeuf-en-Ternois,0,529
62634,Offekerque,0,567
62635,Offin,0,377
62636,Offrethun,0,615
62637,Oignies,0,392
62638,Oisy-le-Verger,0,451
62639,Oppy,0,599
62640,Orville,0,546
62641,Ostreville,0,519
62642,Ourton,0,37
62643,Outreau,0,448
62644,Ouve-Wirquin,0,503
62645,Oye-Plage,0,546
62646,Palluel,0,433
62647,Le Parcq,0,356
62648,Parenty,0,533
62649,Pas-en-Artois,0,457
62650,Pelves,0,546
62651,Penin,0,552
62652,Pernes,0,444
62653,Pernes-lès-Boulogne,0,593
62654,Peuplingues,0,668
62655,Pierremont,0,5
62656,Pihem,0,565
62657,Pihen-lès-Guînes,0,673
62658,Pittefaux,0,708
62659,Planques,N/A - résultat non disponible,
62660,Plouvain,0,603
62661,Bouin-Plumoison,0,337
62662,Polincove,0,568
62663,Pommera,0,552
62664,Pommier,0,597
62665,Le Ponchel,0,285
62666,Pont-à-Vendin,0,381
62667,Le Portel,0,383
62668,Prédefin,0,404
62669,Pressy,0,47
62670,Preures,0,469
62671,Pronville,0,462
62672,Puisieux,0,525
62673,Quéant,0,447
62674,Quelmes,0,575
62675,Quercamps,0,541
62676,Quernes,0,479
62677,Le Quesnoy-en-Artois,0,304
62678,Quesques,0,476
62679,Questrecques,0,526
62680,Quiéry-la-Motte,0,61
62681,Quiestède,0,491
62682,Quilen,N/A - résultat non disponible,
62683,Quoeux-Haut-Maînil,0,281
62684,Racquinghem,0,443
62685,Radinghem,0,441
62686,Ramecourt,0,51
62688,Rang-du-Fliers,0,441
62689,Ransart,0,629
62690,Raye-sur-Authie,0,306
62691,Saint-Augustin,0,497
62692,Rebergues,0,541
62693,Rebreuve-Ranchicourt,0,527
62694,Rebreuve-sur-Canche,0,547
62695,Rebreuviette,0,545
62696,Reclinghem,0,363
62697,Récourt,0,562
62698,Recques-sur-Course,0,496
62699,Recques-sur-Hem,0,539
62700,Regnauville,0,358
62701,Rely,0,465
62702,Remilly-Wirquin,0,534
62703,Rémy,0,606
62704,Renty,0,428
62705,Rety,0,476
62706,Richebourg,0,531
62708,Riencourt-lès-Bapaume,N/A - résultat non disponible,
62709,Riencourt-lès-Cagnicourt,0,542
62710,Rimboval,0,405
62711,Rinxent,0,468
62712,Rivière,0,629
62713,Robecq,0,456
62714,Roclincourt,0,638
62715,Rocquigny,0,376
62716,Rodelinghem,0,498
62717,Roëllecourt,0,563
62718,Roeux,0,546
62719,Rollancourt,0,329
62720,Rombly,N/A - résultat non disponible,
62721,Roquetoire,0,503
62722,Rougefay,N/A - résultat non disponible,
62723,Roussent,0,41
62724,Rouvroy,0,326
62725,Royon,0,46
62726,Ruisseauville,0,416
62727,Ruitz,0,457
62728,Rumaucourt,0,461
62729,Rumilly,0,433
62730,Ruminghem,0,525
62731,Ruyaulcourt,0,372
62732,Sachin,0,532
62733,Sailly-au-Bois,0,515
62734,Sailly-en-Ostrevent,0,556
62735,Sailly-Labourse,0,377
62736,Sailly-sur-la-Lys,0,523
62737,Sains-en-Gohelle,0,309
62738,Sains-lès-Fressin,0,414
62739,Sains-lès-Marquion,0,481
62740,Sains-lès-Pernes,0,496
62741,Saint-Amand,0,503
62742,Saint-Aubin,0,637
62743,Sainte-Austreberthe,0,38
62744,Sainte-Catherine,0,666
62745,Saint-Denoeux,0,31
62746,Saint-Étienne-au-Mont,0,501
62747,Saint-Floris,0,484
62748,Saint-Folquin,0,594
62749,Saint-Georges,0,424
62750,Saint-Hilaire-Cottes,0,47
62751,Saint-Inglevert,0,558
62752,Saint-Josse,0,59
62753,Saint-Laurent-Blangy,0,551
62754,Saint-Léger,0,489
62755,Saint-Léonard,0,508
62756,Sainte-Marie-Kerque,0,533
62757,Saint-Martin-lez-Tatinghem,0,462
62758,Saint-Martin-Boulogne,0,459
62759,Saint-Martin-Choquel,0,523
62760,Saint-Martin-d'Hardinghem,0,376
62761,Saint-Martin-sur-Cojeul,0,687
62762,Saint-Michel-sous-Bois,0,541
62763,Saint-Michel-sur-Ternoise,0,469
62764,Saint-Nicolas,0,522
62765,Saint-Omer,0,402
62766,Saint-Omer-Capelle,0,557
62767,Saint-Pol-sur-Ternoise,0,409
62768,Saint-Rémy-au-Bois,N/A - résultat non disponible,
62769,Saint-Tricat,0,679
62770,Saint-Venant,0,399
62771,Sallaumines,0,187
62772,Salperwick,0,52
62773,Samer,0,492
62774,Sangatte,0,612
62775,Sanghen,0,462
62776,Sapignies,0,465
62777,Le Sars,0,435
62778,Sars-le-Bois,N/A - résultat non disponible,
62779,Sarton,0,516
62780,Sauchy-Cauchy,0,432
62781,Sauchy-Lestrée,0,44
62782,Saudemont,0,509
62783,Saulchoy,0,301
62784,Saulty,0,517
62785,Savy-Berlette,0,601
62786,Selles,0,465
62787,Sempy,0,303
62788,Seninghem,0,56
62789,Senlecques,0,505
62790,Senlis,0,436
62791,Séricourt,N/A - résultat non disponible,
62792,Serques,0,517
62793,Servins,0,461
62794,Setques,0,547
62795,Sibiville,0,539
62796,Simencourt,0,629
62797,Siracourt,0,518
62798,Sombrin,0,578
62799,Sorrus,0,533
62800,Souastre,0,504
62801,Souchez,0,443
62802,Le Souich,0,473
62803,Surques,0,539
62804,Sus-Saint-Léger,0,509
62805,Tangry,0,549
62806,Tardinghen,0,671
62808,Teneur,0,422
62809,Ternas,0,474
62810,Thélus,0,647
62811,Thérouanne,0,418
62812,Thiembronne,0,406
62813,La Thieuloye,0,543
62814,Thièvres,0,5
62815,Tigny-Noyelle,0,404
62816,Tilloy-lès-Hermaville,0,65
62817,Tilloy-lès-Mofflaines,0,645
62818,Tilly-Capelle,0,458
62819,Tilques,0,504
62820,Tincques,0,592
62821,Tingry,0,493
62822,Tollent,N/A - résultat non disponible,
62823,Torcy,0,387
62824,Tortefontaine,0,35
62825,Tortequesne,0,588
62826,Le Touquet-Paris-Plage,0,583
62827,Tournehem-sur-la-Hem,0,41
62828,Tramecourt,N/A - résultat non disponible,
62829,Le Transloy,0,422
62830,Trescault,0,489
62831,Troisvaux,0,569
62832,Tubersent,0,504
62833,Vacquerie-le-Boucq,N/A - résultat non disponible,
62834,Vacqueriette-Erquières,0,314
62835,Valhuon,0,501
62836,Vaudricourt,0,566
62837,Vaudringhem,0,54
62838,Vaulx,N/A - résultat non disponible,
62839,Vaulx-Vraucourt,0,421
62840,Vélu,0,446
62841,Vendin-lès-Béthune,0,525
62842,Vendin-le-Vieil,0,391
62843,Verchin,0,353
62844,Verchocq,0,494
62845,Verlincthun,0,579
62846,Vermelles,0,375
62847,Verquigneul,0,512
62848,Verquin,0,455
62849,Verton,0,497
62850,Vieil-Hesdin,0,368
62851,Vieille-Chapelle,0,566
62852,Vieille-Église,0,561
62853,Vieil-Moutier,0,496
62854,Villers-au-Bois,0,514
62855,Villers-au-Flos,0,451
62856,Villers-Brûlin,0,538
62857,Villers-Châtel,0,667
62858,Villers-lès-Cagnicourt,0,55
62859,Villers-l'Hôpital,0,369
62860,Villers-Sir-Simon,0,636
62861,Vimy,0,417
62862,Vincly,0,424
62863,Violaines,0,445
62864,Vis-en-Artois,0,563
62865,Vitry-en-Artois,0,524
62866,Waben,0,48
62867,Wacquinghen,0,6
62868,Wail,0,35
62869,Wailly,0,654
62870,Wailly-Beaucamp,0,513
62871,Wambercourt,0,339
62872,Wamin,0,297
62873,Wancourt,0,678
62874,Wanquetin,0,621
62875,Wardrecques,0,448
62876,Warlencourt-Eaucourt,0,525
62877,Warlincourt-lès-Pas,0,543
62878,Warlus,0,65
62879,Warluzel,0,489
62880,Le Wast,0,554
62881,Beauvoir-Wavans,0,312
62882,Wavrans-sur-l'Aa,0,538
62883,Wavrans-sur-Ternoise,0,476
62885,Westrehem,0,416
62886,Wicquinghem,0,486
62887,Widehem,0,447
62888,Wierre-au-Bois,0,513
62889,Wierre-Effroy,0,547
62890,Willeman,0,404
62891,Willencourt,0,321
62892,Willerval,0,636
62893,Wimereux,0,54
62894,Wimille,0,495
62895,Wingles,0,366
62896,Wirwignes,0,544
62897,Wismes,0,512
62898,Wisques,0,661
62899,Wissant,0,478
62900,Witternesse,0,461
62901,Wittes,0,488
62902,Wizernes,0,447
62903,Zoteux,0,563
62904,Zouafques,0,451
62905,Zudausques,0,64
62906,Zutkerque,0,516
62907,Libercourt,0,339
62908,La Capelle-lès-Boulogne,0,617
62909,Ytres,0,36
80001,Abbeville,0,41
80002,Ablaincourt-Pressoir,0,376
80003,Acheux-en-Amiénois,0,497
80004,Acheux-en-Vimeu,0,577
80005,Agenville,N/A - résultat non disponible,
80006,Agenvillers,0,632
80008,Aigneville,0,542
80009,Ailly-le-Haut-Clocher,0,466
80010,Ailly-sur-Noye,0,637
80011,Ailly-sur-Somme,0,517
80013,Airaines,0,464
80014,Aizecourt-le-Bas,N/A - résultat non disponible,
80015,Aizecourt-le-Haut,N/A - résultat non disponible,
80016,Albert,0,443
80017,Allaines,0,407
80018,Allenay,0,444
80019,Allery,0,563
80020,Allonville,0,794
80021,Amiens,0,522
80022,Andainville,0,53
80023,Andechy,0,365
80024,Argoeuves,0,623
80025,Argoules,0,447
80026,Arguel,N/A - résultat non disponible,
80027,Armancourt,N/A - résultat non disponible,
80028,Arquèves,0,497
80029,Arrest,0,566
80030,Arry,0,334
80031,Arvillers,0,511
80032,Assainvillers,0,438
80033,Assevillers,0,39
80034,Athies,0,405
80035,Aubercourt,N/A - résultat non disponible,
80036,Aubigny,0,731
80037,Aubvillers,0,638
80038,Auchonvillers,0,528
80039,Ault,0,37
80040,Aumâtre,0,45
80041,Aumont,0,526
80042,Autheux,0,45
80043,Authie,0,493
80044,Authieule,0,437
80045,Authuille,0,521
80046,Avelesges,N/A - résultat non disponible,
80047,Aveluy,0,513
80048,Avesnes-Chaussoy,N/A - résultat non disponible,
80049,Ayencourt,0,408
80050,Bacouel-sur-Selle,0,692
80051,Bailleul,0,552
80052,Baizieux,0,443
80053,Balâtre,N/A - résultat non disponible,
80054,Barleux,0,348
80055,Barly,0,41
80056,Bavelincourt,N/A - résultat non disponible,
80057,Bayencourt,N/A - résultat non disponible,
80058,Bayonvillers,0,524
80059,Bazentin,N/A - résultat non disponible,
80060,Béalcourt,0,382
80061,Beaucamps-le-Jeune,0,419
80062,Beaucamps-le-Vieux,0,376
80063,Beauchamps,0,566
80064,Beaucourt-en-Santerre,0,617
80065,Beaucourt-sur-l'Ancre,N/A - résultat non disponible,
80066,Beaucourt-sur-l'Hallue,0,446
80067,Beaufort-en-Santerre,0,438
80068,Beaumetz,0,435
80069,Beaumont-Hamel,0,572
80070,Beauquesne,0,452
80071,Beauval,0,406
80073,Bécordel-Bécourt,0,576
80074,Becquigny,0,387
80076,Béhen,0,655
80077,Béhencourt,0,421
80078,Bellancourt,0,714
80079,Belleuse,0,638
80080,Belloy-en-Santerre,0,424
80081,Belloy-Saint-Léonard,N/A - résultat non disponible,
80082,Belloy-sur-Somme,0,605
80083,Bergicourt,0,59
80084,Bermesnil,0,472
80085,Bernâtre,N/A - résultat non disponible,
80086,Bernaville,0,414
80087,Bernay-en-Ponthieu,0,371
80088,Bernes,0,373
80089,Berneuil,0,524
80090,Berny-en-Santerre,0,444
80092,Bertangles,0,765
80093,Berteaucourt-les-Dames,0,433
80094,Berteaucourt-lès-Thennes,0,589
80095,Bertrancourt,0,456
80096,Béthencourt-sur-Mer,0,42
80097,Béthencourt-sur-Somme,0,449
80098,Bettembos,0,463
80099,Bettencourt-Rivière,0,622
80100,Bettencourt-Saint-Ouen,0,471
80101,Beuvraignes,0,361
80102,Biaches,0,431
80103,Biarre,N/A - résultat non disponible,
80104,Biencourt,0,543
80105,Billancourt,0,432
80106,Blangy-sous-Poix,0,536
80107,Blangy-Tronville,0,636
80108,Boisbergues,N/A - résultat non disponible,
80109,Le Boisle,0,32
80110,Boismont,0,601
80112,Bonnay,0,397
80113,Bonneville,0,476
80114,Bosquel,0,645
80115,Bouchavesnes-Bergen,0,389
80116,Bouchoir,0,452
80117,Bouchon,0,391
80118,Boufflers,0,401
80119,Bougainville,0,574
80120,Bouillancourt-en-Séry,0,585
80121,Bouillancourt-la-Bataille,0,434
80122,Bouquemaison,0,457
80123,Bourdon,0,569
80124,Bourseville,0,422
80125,Boussicourt,N/A - résultat non disponible,
80126,Bouttencourt,0,57
80127,Bouvaincourt-sur-Bresle,0,557
80128,Bouvincourt-en-Vermandois,0,493
80129,Bouzincourt,0,51
80130,Bovelles,0,682
80131,Boves,0,67
80132,Braches,0,535
80133,Brailly-Cornehotte,0,428
80134,Brassy,N/A - résultat non disponible,
80135,Bray-lès-Mareuil,0,585
80136,Bray-sur-Somme,0,45
80137,Breilly,0,613
80138,Bresle,0,455
80139,Breuil,N/A - résultat non disponible,
80140,Brévillers,0,545
80141,Brie,0,462
80142,Briquemesnil-Floxicourt,0,608
80143,Brocourt,N/A - résultat non disponible,
80144,Brouchy,0,404
80145,Brucamps,0,507
80146,Brutelles,0,474
80147,Buigny-l'Abbé,0,52
80148,Buigny-lès-Gamaches,0,521
80149,Buigny-Saint-Maclou,0,664
80150,Buire-Courcelles,0,357
80151,Buire-sur-l'Ancre,0,543
80152,Bus-la-Mésière,0,396
80153,Bus-lès-Artois,0,416
80154,Bussu,0,386
80155,Bussus-Bussuel,0,495
80156,Bussy-lès-Daours,0,81
80157,Bussy-lès-Poix,N/A - résultat non disponible,
80158,Buverchy,N/A - résultat non disponible,
80159,Cachy,0,649
80160,Cagny,0,681
80161,Cahon,0,629
80162,Caix,0,43
80163,Cambron,0,636
80164,Camon,0,725
80165,Camps-en-Amiénois,0,547
80166,Canaples,0,506
80167,Canchy,0,601
80168,Candas,0,464
80169,Cannessières,N/A - résultat non disponible,
80170,Cantigny,0,441
80171,Caours,0,713
80172,Cappy,0,457
80173,Cardonnette,0,786
80174,Le Cardonnois,N/A - résultat non disponible,
80175,Carnoy,0,561
80176,Carrépuis,0,349
80177,Cartigny,0,388
80179,Caulières,0,544
80180,Cavillon,0,571
80181,Cayeux-en-Santerre,0,538
80182,Cayeux-sur-Mer,0,395
80183,Cerisy-Buleux,0,49
80184,Cerisy,0,331
80185,Champien,0,403
80186,Chaulnes,0,365
80187,La Chaussée-Tirancourt,0,603
80188,Chaussoy-Epagny,0,642
80189,La Chavatte,N/A - résultat non disponible,
80190,Chépy,0,486
80191,Chilly,0,478
80192,Chipilly,0,407
80193,Chirmont,0,599
80194,Chuignes,0,398
80195,Chuignolles,0,433
80196,Citerne,0,493
80197,Cizancourt,N/A - résultat non disponible,
80198,Clairy-Saulchoix,0,615
80199,Cléry-sur-Somme,0,405
80200,Cocquerel,0,499
80201,Coigneux,N/A - résultat non disponible,
80202,Coisy,0,74
80203,Colincamps,N/A - résultat non disponible,
80204,Combles,0,385
80205,Condé-Folie,0,442
80206,Contalmaison,0,569
80207,Contay,0,418
80208,Conteville,0,399
80209,Contoire,0,506
80210,Contre,0,671
80211,Conty,0,55
80212,Corbie,0,335
80213,Cottenchy,0,701
80214,Coullemelle,0,56
80215,Coulonvillers,0,422
80216,Courcelette,0,575
80217,Courcelles-au-Bois,N/A - résultat non disponible,
80218,Courcelles-sous-Moyencourt,0,568
80219,Courcelles-sous-Thoix,N/A - résultat non disponible,
80220,Courtemanche,0,398
80221,Cramont,0,454
80222,Crécy-en-Ponthieu,0,373
80223,Crémery,0,425
80224,Cressy-Omencourt,0,415
80225,Creuse,0,757
80226,Croix-Moligneaux,0,387
80227,Croixrault,0,525
80228,Le Crotoy,0,38
80229,Crouy-Saint-Pierre,0,59
80230,Curchy,0,386
80231,Curlu,0,59
80232,Damery,0,346
80233,Dancourt-Popincourt,0,426
80234,Daours,0,693
80235,Dargnies,0,453
80236,Davenescourt,0,415
80237,Démuin,0,56
80238,Dernancourt,0,589
80239,Devise,N/A - résultat non disponible,
80240,Doingt,0,414
80241,Domart-en-Ponthieu,0,447
80242,Domart-sur-la-Luce,0,556
80243,Domesmont,N/A - résultat non disponible,
80244,Dominois,0,429
80245,Domléger-Longvillers,0,431
80246,Dommartin,0,677
80247,Dompierre-Becquincourt,0,369
80248,Dompierre-sur-Authie,0,412
80249,Domqueur,0,471
80250,Domvast,0,626
80251,Doudelainville,0,549
80252,Douilly,0,32
80253,Doullens,0,344
80256,Dreuil-lès-Amiens,0,588
80258,Driencourt,0,449
80259,Dromesnil,0,408
80260,Drucat,0,74
80261,Dury,0,873
80262,Eaucourt-sur-Somme,0,643
80263,L'Échelle-Saint-Aurin,N/A - résultat non disponible,
80264,Éclusier-Vaux,N/A - résultat non disponible,
80265,Embreville,0,509
80266,Englebelmer,0,538
80267,Ennemain,0,445
80268,Épagne-Épagnette,0,68
80269,Épaumesnil,0,475
80270,Épécamps,N/A - résultat non disponible,
80271,Épehy,0,301
80272,Épénancourt,0,483
80273,Éplessier,0,505
80274,Eppeville,0,39
80275,Équancourt,0,355
80276,Équennes-Éramecourt,0,569
80278,Erches,0,414
80279,Ercheu,0,341
80280,Ercourt,0,512
80281,Ergnies,0,438
80282,Érondelle,0,564
80283,Esclainvillers,0,552
80284,Esmery-Hallon,0,401
80285,Essertaux,0,648
80287,Estréboeuf,0,632
80288,Estrées-Deniécourt,0,442
80290,Estrées-lès-Crécy,0,403
80291,Estrées-sur-Noye,0,761
80292,Étalon,0,401
80293,Ételfay,0,403
80294,Éterpigny,0,388
80295,Étinehem-Méricourt,0,513
80296,L'Étoile,0,401
80297,Étréjust,N/A - résultat non disponible,
80298,Étricourt-Manancourt,0,369
80299,La Faloise,0,573
80300,Falvy,0,504
80301,Famechon,0,549
80302,Faverolles,0,351
80303,Favières,0,428
80304,Fay,N/A - résultat non disponible,
80305,Ferrières,0,646
80306,Fescamps,0,359
80307,Feuillères,0,395
80308,Feuquières-en-Vimeu,0,511
80310,Fienvillers,0,472
80311,Fignières,0,379
80312,Fins,0,413
80313,Flaucourt,0,355
80314,Flers,0,437
80315,Flers-sur-Noye,0,716
80316,Flesselles,0,523
80317,Fleury,0,618
80318,Flixecourt,0,384
80319,Fluy,0,621
80320,Folies,0,51
80321,Folleville,0,635
80322,Fonches-Fonchette,0,386
80324,Fontaine-le-Sec,0,499
80325,Fontaine-lès-Cappy,N/A - résultat non disponible,
80326,Fontaine-sous-Montdidier,0,436
80327,Fontaine-sur-Maye,0,444
80328,Fontaine-sur-Somme,0,533
80329,Forceville,0,53
80330,Forceville-en-Vimeu,0,387
80331,Forest-l'Abbaye,0,614
80332,Forest-Montiers,0,567
80333,Fort-Mahon-Plage,0,383
80334,Fossemanant,0,625
80335,Foucaucourt-en-Santerre,0,382
80336,Foucaucourt-Hors-Nesle,N/A - résultat non disponible,
80337,Fouencamps,0,666
80338,Fouilloy,0,348
80339,Fouquescourt,0,5
80340,Fourcigny,0,447
80341,Fourdrinoy,0,589
80342,Framerville-Rainecourt,0,468
80343,Framicourt,0,525
80344,Francières,0,512
80345,Franleu,0,596
80346,Franqueville,0,499
80347,Fransart,0,51
80348,Fransu,0,466
80349,Fransures,0,611
80350,Franvillers,0,461
80351,Fréchencourt,0,401
80352,Frémontiers,0,517
80353,Fresnes-Mazancourt,0,325
80354,Fresnes-Tilloloy,0,466
80355,Fresneville,0,419
80356,Fresnoy-Andainville,N/A - résultat non disponible,
80357,Fresnoy-au-Val,0,598
80358,Fresnoy-en-Chaussée,0,526
80359,Fresnoy-lès-Roye,0,458
80360,Fressenneville,0,403
80361,Frettecuisse,N/A - résultat non disponible,
80362,Frettemeule,0,557
80364,Friaucourt,0,466
80365,Fricamps,0,55
80366,Fricourt,0,544
80367,Frise,0,522
80368,Friville-Escarbotin,0,372
80369,Frohen-sur-Authie,0,383
80371,Froyelles,0,449
80372,Frucourt,0,549
80373,Gamaches,0,423
80374,Gapennes,0,635
80375,Gauville,0,484
80376,Gentelles,0,672
80377,Gézaincourt,0,421
80378,Ginchy,N/A - résultat non disponible,
80379,Glisy,0,665
80380,Gorenflos,0,446
80381,Gorges,N/A - résultat non disponible,
80383,Goyencourt,0,403
80384,Grandcourt,0,508
80385,Grand-Laviers,0,658
80386,Gratibus,0,451
80387,Grattepanche,0,7
80388,Grébault-Mesnil,0,642
80389,Grécourt,N/A - résultat non disponible,
80390,Grivesnes,0,681
80391,Grivillers,N/A - résultat non disponible,
80392,Grouches-Luchuel,0,45
80393,Gruny,0,352
80395,Guerbigny,0,345
80396,Gueschart,0,423
80397,Gueudecourt,0,462
80399,Guignemicourt,0,623
80400,Guillaucourt,0,502
80401,Guillemont,0,452
80402,Guizancourt,0,561
80403,Guyencourt-sur-Noye,0,682
80404,Guyencourt-Saulcourt,0,398
80405,Hailles,0,593
80406,Hallencourt,0,494
80407,Hallivillers,0,702
80408,Halloy-lès-Pernois,0,488
80409,Hallu,0,489
80410,Ham,0,313
80411,Le Hamel,0,342
80412,Hamelet,0,439
80413,Hancourt,N/A - résultat non disponible,
80414,Hangard,0,607
80415,Hangest-en-Santerre,0,508
80416,Hangest-sur-Somme,0,563
80417,Harbonnières,0,375
80418,Hardecourt-aux-Bois,N/A - résultat non disponible,
80419,Hargicourt,0,343
80420,Harponville,0,478
80421,Hattencourt,0,323
80422,Hautvillers-Ouville,0,65
80423,Havernas,0,586
80424,Hébécourt,0,836
80425,Hédauville,0,516
80426,Heilly,0,434
80427,Hem-Hardinval,0,422
80428,Hem-Monacu,0,447
80429,Hénencourt,0,374
80430,Herbécourt,0,359
80431,Hérissart,0,593
80432,Herleville,0,434
80433,Herly,N/A - résultat non disponible,
80434,Hervilly,0,447
80435,Hesbécourt,N/A - résultat non disponible,
80436,Hescamps,0,525
80437,Heucourt-Croquoison,0,462
80438,Heudicourt,0,331
80439,Heuzecourt,0,425
80440,Hiermont,0,338
80442,Hombleux,0,388
80443,Hornoy-le-Bourg,0,494
80444,Huchenneville,0,609
80445,Humbercourt,0,4
80446,Huppy,0,597
80449,Ignaucourt,N/A - résultat non disponible,
80450,Inval-Boiron,0,382
80451,Irles,0,462
80452,Jumel,0,632
80453,Laboissière-en-Santerre,0,331
80455,Lachapelle,N/A - résultat non disponible,
80456,Lafresguimont-Saint-Martin,0,491
80458,Lahoussoye,0,475
80459,Laleu,0,583
80460,Lamaronde,N/A - résultat non disponible,
80461,Lamotte-Brebière,0,798
80462,Lamotte-Buleux,0,619
80463,Lamotte-Warfusée,0,417
80464,Lanchères,0,4
80465,Languevoisin-Quiquery,0,387
80466,Lanches-Saint-Hilaire,0,496
80467,Laucourt,0,391
80468,Laviéville,0,574
80469,Lawarde-Mauger-l'Hortoy,0,645
80470,Léalvillers,0,557
80472,Lesboeufs,0,373
80473,Liancourt-Fosse,0,416
80474,Licourt,0,396
80475,Liéramont,0,369
80476,Liercourt,0,531
80477,Ligescourt,0,417
80478,Lignières,0,378
80479,Lignières-Châtelain,0,511
80480,Lignières-en-Vimeu,N/A - résultat non disponible,
80481,Lihons,0,366
80482,Limeux,0,559
80484,Liomer,0,389
80485,Loeuilly,0,622
80486,Long,0,455
80487,Longavesnes,N/A - résultat non disponible,
80488,Longpré-les-Corps-Saints,0,536
80489,Longueau,0,516
80490,Longueval,0,381
80491,Longuevillette,N/A - résultat non disponible,
80493,Louvencourt,0,424
80494,Louvrechy,0,624
80495,Lucheux,0,457
80496,Machiel,0,433
80497,Machy,0,557
80498,Mailly-Maillet,0,481
80499,Mailly-Raineval,0,612
80500,Maisnières,0,532
80501,Maison-Ponthieu,0,346
80502,Maison-Roland,0,437
80503,Maizicourt,0,407
80504,Malpart,N/A - résultat non disponible,
80505,Mametz,0,563
80507,Marcelcave,0,421
80508,Marché-Allouarde,N/A - résultat non disponible,
80509,Marchélepot,0,369
80511,Marestmontiers,0,4
80512,Mareuil-Caubert,0,567
80513,Maricourt,0,536
80514,Marieux,0,529
80515,Marlers,0,491
80516,Marquaix,0,414
80517,Marquivillers,0,427
80518,Martainneville,0,496
80519,Matigny,0,392
80520,Maucourt,0,464
80521,Maurepas,0,378
80522,Le Mazis,0,514
80523,Méaulte,0,557
80524,Méharicourt,0,47
80525,Meigneux,0,545
80526,Le Meillard,0,437
80527,Méneslies,0,442
80528,Méréaucourt,N/A - résultat non disponible,
80529,Mérélessart,0,512
80530,Méricourt-l'Abbé,0,437
80531,Méricourt-en-Vimeu,0,483
80533,Mers-les-Bains,0,4
80535,Le Mesge,0,531
80536,Mesnil-Bruntel,0,406
80537,Mesnil-Domqueur,N/A - résultat non disponible,
80538,Mesnil-en-Arrouaise,0,437
80540,Mesnil-Martinsart,0,53
80541,Mesnil-Saint-Georges,0,407
80542,Mesnil-Saint-Nicaise,0,399
80543,Métigny,0,616
80544,Mézerolles,0,36
80545,Mézières-en-Santerre,0,543
80546,Miannay,0,618
80547,Millencourt,0,536
